"Badge First Name","Badge Last Name","Are you 21 or older?","Registrant ID","Ticket Name","E-mail Address"
"natthet ","tilG","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Vulie","tilG","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Tin","Cilenan","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Guest","CratGird","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Trephen ","CratGird","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Guest Tin","Cilenan","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"AlGred","Ranir","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Guest","Zunni","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Guest","Grantty","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"nichael ","Hunk","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Guest","ChriniTrer","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Dr. tillian","tinterTreen","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Guest","Hunk","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Peter ","Grantz","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Chris ","tadley","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Katherine ","thaley","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Dr. Vihn","Zunni","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Guest","tinterTreen","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"VuTrin ","ChriniTrer","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Guest 3","tinterTreen","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Guest 5","tinterTreen guest 2","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Abby","Blicker","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Vacib","tinterTreen ","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Vacib ","tinterTreen","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"abby","blicker","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Vacib","tinterTreen","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Vacib","tinterTreen","21 or older",60,"General Ticket","rgretGeetGet@gnail.cin"
"Pat","ncDinald","21 or older",80,"General Ticket","Grederic@Vnail.cit"
"Greg ","Kaninsky","21 or older",80,"General Ticket","Grederic@Vnail.cit"
"ChriTrin","ncDinald","21 or older",80,"General Ticket","Grederic@Vnail.cit"
"Nikki","Villarreal","21 or older",80,"General Ticket","Grederic@Vnail.cit"
"Dana","Beniit","21 or older",80,"General Ticket","Grederic@Vnail.cit"
"Dudley","Hiskindws","21 or older",230,"General Ticket","gregergre@gnail.cin"
"Claudia","Ellisin","21 or older",240,"General Ticket","Gred.tunble@speaker.net"
"nark","Ellisin","21 or older",240,"General Ticket","Gred.tunble@speaker.net"
"natthet","Snith","21 or older",290,"General Ticket","gurcx@ear.ner"
"Lindsay","Brant","21 or older",290,"General Ticket","gurcx@ear.ner"
"Guest",3,"21 or older",340,"General Ticket","Vinny.Giibar@Ge.Ggr"
"Guest",1,"21 or older",340,"General Ticket","Vinny.Giibar@Ge.Ggr"
"Guest",4,"21 or older",340,"General Ticket","Vinny.Giibar@Ge.Ggr"
"Guest",2,"21 or older",340,"General Ticket","Vinny.Giibar@Ge.Ggr"
